Kota;Kecamatan;Kelurahan;NamaJalan;NilaiNJOP2025;LuasTanah;JarakPusatKota;RumahSakit;Sekolah;Mall;Polisi;Ibadah;Toll;HargaEstimasi
Jakarta Timur;Matraman;Pisangan Baru;Jl. Pisangan Baru Raya;8829000.0;131.0;12.8;1.3;1.0;2.4;1.6;0.9;3.0;1481211057.276108
Jakarta Timur;Matraman;Pisangan Baru;Jl. Pisangan Baru I;9675000.0;166.0;9.2;1.5;0.4;1.3;2.9;0.6;6.2;2079821641.2147636
Jakarta Timur;Matraman;Pisangan Baru;Jl. Pisangan Baru II;17660000.0;71.0;17.2;3.3;1.1;1.4;5.0;0.2;3.9;1593965309.761114
Jakarta Timur;Matraman;Pisangan Baru;Jl. Pisangan Baru III;14776000.0;185.0;19.7;2.7;1.8;2.3;0.7;1.4;6.0;3339113946.5983896
Jakarta Timur;Matraman;Pisangan Baru;Jl. Pisangan Baru IV;10188000.0;160.0;17.0;2.7;1.8;1.0;1.4;1.3;5.6;2048441132.149388
Jakarta Timur;Matraman;Pisangan Baru;Jl. Pisangan Baru Barat;8485000.0;93.0;8.9;1.0;0.6;3.5;1.4;0.1;4.5;1017167181.64794
Jakarta Timur;Matraman;Pisangan Baru;Jl. Pisangan Baru Timur;13801000.0;238.0;15.4;2.6;1.3;3.0;0.8;0.4;3.1;4153136820.7504525
Jakarta Timur;Matraman;Pisangan Baru;Jl. Pisangan Baru Selatan;10269000.0;68.0;14.6;2.8;0.8;1.6;3.8;0.9;1.1;939365676.6748934
Jakarta Timur;Matraman;Pisangan Baru;Jl. Pisangan Baru Utara;10177000.0;223.0;10.8;1.0;1.3;0.6;4.1;0.3;1.6;3157713797.845943
Jakarta Timur;Matraman;Kebon Manggis;Jl. Kebon Manggis Utama;16047000.0;220.0;17.4;4.0;1.9;2.6;4.0;0.4;7.2;4229647724.3301706
Jakarta Timur;Matraman;Kebon Manggis;Jl. Kebon Manggis Raya;10275000.0;141.0;15.5;2.9;1.5;3.0;1.5;0.2;4.5;1794024978.3160386
Jakarta Timur;Matraman;Kebon Manggis;Jl. Kebon Manggis I;16178000.0;159.0;12.8;2.0;0.6;1.5;1.0;0.1;5.9;3337764129.9481225
Jakarta Timur;Matraman;Kebon Manggis;Jl. Kebon Manggis II;14976000.0;85.0;13.4;2.9;0.4;1.2;2.5;0.5;7.4;1627829052.1418877
Jakarta Timur;Matraman;Kebon Manggis;Jl. Kebon Manggis III;15310000.0;75.0;15.9;1.0;1.0;2.4;4.6;0.9;5.8;1428968241.4015758
Jakarta Timur;Matraman;Kebon Manggis;Jl. Kebon Manggis IV;7005000.0;182.0;9.8;2.6;1.7;2.0;2.6;1.3;4.6;1569267609.385783
Jakarta Timur;Matraman;Kebon Manggis;Jl. Kebon Manggis Barat;19205000.0;247.0;11.5;1.8;0.7;2.5;4.0;1.1;5.8;5874059800.980392
Jakarta Timur;Matraman;Kebon Manggis;Jl. Kebon Manggis Timur;16761000.0;106.0;11.7;3.2;1.2;3.5;3.6;0.2;3.4;2208348884.8419695
Jakarta Timur;Matraman;Kebon Manggis;Jl. Kebon Manggis Selatan;15070000.0;149.0;19.8;1.0;0.7;3.8;2.4;0.7;7.1;2776912918.8453155
Jakarta Timur;Matraman;Kebon Manggis;Jl. Kebon Manggis Utara;16433000.0;155.0;11.1;1.1;1.1;4.0;2.7;1.2;6.2;3112968204.84673
Jakarta Timur;Matraman;Kayu Manis;Jl. Kayu Manis Utama;6706000.0;198.0;8.3;2.0;0.3;2.6;2.6;0.6;6.9;1674305788.358595
Jakarta Timur;Matraman;Kayu Manis;Jl. Kayu Manis Raya;5851000.0;214.0;14.0;0.9;0.9;2.5;4.2;0.8;3.2;1600665732.9638195
Jakarta Timur;Matraman;Kayu Manis;Jl. Kayu Manis I;14643000.0;71.0;19.6;1.5;0.7;0.9;2.3;0.8;1.7;1417285256.9409008
Jakarta Timur;Matraman;Kayu Manis;Jl. Kayu Manis II;15771000.0;81.0;18.3;1.6;1.5;1.3;2.0;1.1;7.3;1593624350.689625
Jakarta Timur;Matraman;Kayu Manis;Jl. Kayu Manis III;8157000.0;189.0;16.5;3.5;0.8;3.0;3.4;0.2;5.7;1898793543.4192674
Jakarta Timur;Matraman;Kayu Manis;Jl. Kayu Manis IV;5889000.0;84.0;16.8;3.7;1.4;1.5;4.3;0.6;1.6;645534480.993577
Jakarta Timur;Matraman;Kayu Manis;Jl. Kayu Manis Barat;5591000.0;80.0;9.5;1.1;1.0;0.7;2.3;0.9;6.5;584711130.628711
Jakarta Timur;Matraman;Kayu Manis;Jl. Kayu Manis Timur;18996000.0;217.0;17.9;1.2;0.8;0.8;2.1;0.8;4.2;5438357281.113672
Jakarta Timur;Matraman;Kayu Manis;Jl. Kayu Manis Selatan;11519000.0;177.0;17.7;2.4;1.7;2.3;1.6;0.3;2.8;2588019037.7729425
Jakarta Timur;Matraman;Kayu Manis;Jl. Kayu Manis Utara;8576000.0;127.0;14.7;1.5;0.9;3.9;2.7;0.1;8.0;1342436496.4539113
Jakarta Timur;Matraman;Matraman;Jl. Matraman Utama;18371000.0;106.0;18.4;2.0;0.6;3.9;2.3;1.1;2.2;2482442385.678323
Jakarta Timur;Matraman;Matraman;Jl. Matraman Raya;18930000.0;216.0;12.7;3.2;0.2;3.8;4.5;0.9;4.2;5110210855.929813
Jakarta Timur;Matraman;Matraman;Jl. Matraman I;7703000.0;208.0;8.9;0.8;0.1;3.2;1.1;1.2;2.9;2129002441.8178573
Jakarta Timur;Matraman;Matraman;Jl. Matraman II;15723000.0;196.0;13.6;3.1;1.7;2.3;1.8;0.7;7.7;3732373506.2463546
Jakarta Timur;Matraman;Matraman;Jl. Matraman III;8215000.0;240.0;11.4;1.1;0.3;1.8;2.9;0.1;2.0;2687325665.9130344
Jakarta Timur;Matraman;Matraman;Jl. Matraman IV;16330000.0;203.0;9.9;3.1;1.4;4.0;3.7;1.0;5.1;3981225241.588025
Jakarta Timur;Matraman;Matraman;Jl. Matraman Barat;17230000.0;160.0;8.1;2.8;0.1;3.9;2.2;0.3;7.5;3472927159.880243
Jakarta Timur;Matraman;Matraman;Jl. Matraman Timur;7558000.0;213.0;14.6;2.4;1.2;0.6;5.0;0.7;2.1;2159192395.7767477
Jakarta Timur;Matraman;Matraman;Jl. Matraman Selatan;6122000.0;189.0;8.1;1.2;1.5;1.0;1.3;0.1;2.6;1560092812.3583665
Jakarta Timur;Matraman;Matraman;Jl. Matraman Utara;10692000.0;191.0;16.7;3.0;0.8;1.8;3.5;1.0;6.9;2516074238.864765
Jakarta Timur;Matraman;Utan Kayu Utara;Jl. Utan Kayu Utara Utama;9509000.0;238.0;8.0;3.9;1.5;3.3;4.7;0.8;1.9;2850241261.3268304
Jakarta Timur;Matraman;Utan Kayu Utara;Jl. Utan Kayu Utara Raya;6659000.0;225.0;10.3;3.2;1.6;0.8;3.2;1.0;1.7;1994364017.1903338
Jakarta Timur;Matraman;Utan Kayu Utara;Jl. Utan Kayu Utara I;17259000.0;169.0;16.8;1.3;0.5;0.8;2.9;1.5;4.4;3837258682.5776396
Jakarta Timur;Matraman;Utan Kayu Utara;Jl. Utan Kayu Utara II;13970000.0;193.0;16.1;1.8;0.2;1.9;3.5;1.1;4.1;3472633497.471152
Jakarta Timur;Matraman;Utan Kayu Utara;Jl. Utan Kayu Utara III;10276000.0;89.0;14.5;2.1;0.9;3.4;2.3;1.0;1.4;1191121071.0277057
Jakarta Timur;Matraman;Utan Kayu Utara;Jl. Utan Kayu Utara IV;19685000.0;180.0;14.3;0.7;0.4;2.2;4.7;1.3;2.5;4662878108.974247
Jakarta Timur;Matraman;Utan Kayu Utara;Jl. Utan Kayu Utara Barat;8851000.0;175.0;10.1;1.3;1.5;2.5;3.0;0.8;3.8;1941267525.7509444
Jakarta Timur;Matraman;Utan Kayu Utara;Jl. Utan Kayu Utara Timur;8215000.0;147.0;17.0;3.9;0.6;2.9;3.6;0.8;1.9;1548352712.6720858
Jakarta Timur;Matraman;Utan Kayu Utara;Jl. Utan Kayu Utara Selatan;13472000.0;248.0;14.9;3.1;1.4;1.7;1.1;0.7;1.9;4355106449.739625
Jakarta Timur;Matraman;Utan Kayu Utara;Jl. Utan Kayu Utara Utara;7778000.0;100.0;15.5;3.4;0.6;3.3;2.2;0.5;3.6;974090460.0526367
Jakarta Timur;Matraman;Utan Kayu Selatan;Jl. Utan Kayu Selatan Utama;12230000.0;122.0;17.5;3.6;1.1;3.2;2.0;0.1;7.0;1823763922.2379074
Jakarta Timur;Matraman;Utan Kayu Selatan;Jl. Utan Kayu Selatan Raya;13569000.0;247.0;10.7;1.5;0.9;2.4;4.3;0.7;4.3;4210377245.449397
Jakarta Timur;Matraman;Utan Kayu Selatan;Jl. Utan Kayu Selatan I;19171000.0;82.0;17.6;1.9;1.9;1.7;2.7;0.7;1.3;2078341157.1438181
Jakarta Timur;Matraman;Utan Kayu Selatan;Jl. Utan Kayu Selatan II;19624000.0;171.0;14.6;0.9;1.7;0.8;4.7;1.4;7.4;4271638678.7345076
Jakarta Timur;Matraman;Utan Kayu Selatan;Jl. Utan Kayu Selatan III;10989000.0;63.0;10.0;2.4;0.7;2.3;2.9;0.6;3.6;877934762.8056757
Jakarta Timur;Matraman;Utan Kayu Selatan;Jl. Utan Kayu Selatan IV;10205000.0;140.0;9.7;3.5;1.1;2.6;4.9;1.4;5.4;1731425833.375803
Jakarta Timur;Matraman;Utan Kayu Selatan;Jl. Utan Kayu Selatan Barat;18815000.0;159.0;18.6;1.4;0.4;3.8;2.7;0.2;3.0;3860097257.5040483
Jakarta Timur;Matraman;Utan Kayu Selatan;Jl. Utan Kayu Selatan Timur;8090000.0;86.0;12.0;0.6;0.5;2.6;3.7;0.4;2.4;923694642.2561933
Jakarta Timur;Matraman;Utan Kayu Selatan;Jl. Utan Kayu Selatan Selatan;17262000.0;192.0;14.4;2.7;1.7;3.0;1.4;0.2;7.9;4034225096.1433344
Jakarta Timur;Matraman;Utan Kayu Selatan;Jl. Utan Kayu Selatan Utara;13398000.0;141.0;12.1;1.4;1.2;3.8;3.3;0.7;7.4;2293023327.944286
Jakarta Timur;Pulo Gadung;Kayu Putih;Jl. Kayu Putih Utama;16342000.0;244.0;13.7;2.7;1.9;1.6;2.9;0.7;2.4;5088779958.463093
Jakarta Timur;Pulo Gadung;Kayu Putih;Jl. Kayu Putih Raya;19528000.0;242.0;14.5;1.7;0.7;3.3;3.1;0.2;7.7;5848683198.845492
Jakarta Timur;Pulo Gadung;Kayu Putih;Jl. Kayu Putih I;33510000.0;158.0;19.8;1.1;1.8;1.3;4.5;0.3;4.9;6743919733.865497
Jakarta Timur;Pulo Gadung;Kayu Putih;Jl. Kayu Putih II;23210000.0;205.0;13.6;1.3;2.0;3.2;1.4;0.4;7.7;5818209965.550314
Jakarta Timur;Pulo Gadung;Kayu Putih;Jl. Kayu Putih III;15461000.0;73.0;16.3;2.4;0.5;1.1;4.7;0.1;3.5;1487953630.5789487
Jakarta Timur;Pulo Gadung;Kayu Putih;Jl. Kayu Putih IV;18126000.0;86.0;11.4;3.4;0.6;1.5;2.2;1.1;2.5;2025158690.5519478
Jakarta Timur;Pulo Gadung;Kayu Putih;Jl. Kayu Putih Barat;25268000.0;158.0;11.8;0.5;0.8;2.0;3.5;1.5;3.0;5203918903.728813
Jakarta Timur;Pulo Gadung;Kayu Putih;Jl. Kayu Putih Timur;28907000.0;204.0;15.2;0.8;0.8;3.3;1.7;1.3;4.2;7442943579.206405
Jakarta Timur;Pulo Gadung;Kayu Putih;Jl. Kayu Putih Selatan;34013000.0;79.0;18.1;1.7;0.6;2.1;4.3;0.3;6.9;3373423243.3308015
Jakarta Timur;Pulo Gadung;Kayu Putih;Jl. Kayu Putih Utara;34528000.0;62.0;17.4;2.8;0.4;2.7;4.1;0.9;5.2;2658906177.837555
Jakarta Timur;Pulo Gadung;Jatinegara Kaum;Jl. Jatinegara Kaum Utama;14670000.0;141.0;17.9;1.1;0.9;1.9;2.5;0.4;7.9;2603191423.1713014
Jakarta Timur;Pulo Gadung;Jatinegara Kaum;Jl. Jatinegara Kaum Raya;17541000.0;161.0;18.5;3.8;1.2;3.2;1.9;0.3;3.7;3498623507.3234777
Jakarta Timur;Pulo Gadung;Jatinegara Kaum;Jl. Jatinegara Kaum I;21755000.0;110.0;10.2;2.6;1.4;3.5;4.5;1.2;4.0;2908778580.0653596
Jakarta Timur;Pulo Gadung;Jatinegara Kaum;Jl. Jatinegara Kaum II;18856000.0;170.0;14.0;3.4;0.4;2.6;3.3;1.3;3.5;4028979496.528188
Jakarta Timur;Pulo Gadung;Jatinegara Kaum;Jl. Jatinegara Kaum III;34422000.0;152.0;10.8;2.9;1.2;0.7;3.8;0.9;4.7;6735683896.45322
Jakarta Timur;Pulo Gadung;Jatinegara Kaum;Jl. Jatinegara Kaum IV;13309000.0;192.0;19.7;1.3;1.3;3.2;1.0;1.2;5.0;3161909164.982358
Jakarta Timur;Pulo Gadung;Jatinegara Kaum;Jl. Jatinegara Kaum Barat;19574000.0;121.0;19.5;2.9;0.9;3.9;1.7;1.2;5.4;2871366613.7225122
Jakarta Timur;Pulo Gadung;Jatinegara Kaum;Jl. Jatinegara Kaum Timur;24117000.0;107.0;13.4;3.2;0.9;3.0;3.6;0.5;3.8;3201409129.587942
Jakarta Timur;Pulo Gadung;Jatinegara Kaum;Jl. Jatinegara Kaum Selatan;8307000.0;102.0;19.0;1.2;1.8;0.9;3.9;0.3;7.1;1082357042.974319
Jakarta Timur;Pulo Gadung;Jatinegara Kaum;Jl. Jatinegara Kaum Utara;26949000.0;187.0;13.8;3.8;0.7;3.7;1.3;0.1;7.2;6214844535.407877
Jakarta Timur;Pulo Gadung;Pisangan Timur;Jl. Pisangan Timur Utama;21219000.0;143.0;16.4;1.5;0.8;3.2;3.2;0.7;6.5;3733996184.383412
Jakarta Timur;Pulo Gadung;Pisangan Timur;Jl. Pisangan Timur Raya;33841000.0;245.0;19.7;3.2;0.4;3.3;4.4;1.4;1.9;10615578205.87265
Jakarta Timur;Pulo Gadung;Pisangan Timur;Jl. Pisangan Timur I;30354000.0;146.0;19.9;3.3;1.8;3.5;1.2;1.4;5.7;5303734802.203023
Jakarta Timur;Pulo Gadung;Pisangan Timur;Jl. Pisangan Timur II;22362000.0;148.0;14.7;2.5;0.2;1.2;1.2;0.3;2.3;4506697548.622805
Jakarta Timur;Pulo Gadung;Pisangan Timur;Jl. Pisangan Timur III;24305000.0;136.0;13.1;3.7;1.6;1.3;2.1;0.8;3.8;4167334505.527235
Jakarta Timur;Pulo Gadung;Pisangan Timur;Jl. Pisangan Timur IV;25643000.0;76.0;18.3;2.0;2.0;2.0;3.9;0.3;1.9;2515816522.763721
Jakarta Timur;Pulo Gadung;Pisangan Timur;Jl. Pisangan Timur Barat;10032000.0;127.0;19.6;3.2;0.7;2.9;5.0;1.4;5.8;1544549646.116908
Jakarta Timur;Pulo Gadung;Pisangan Timur;Jl. Pisangan Timur Timur;24366000.0;78.0;18.6;3.5;0.6;0.9;4.1;0.8;3.3;2475864529.8329606
Jakarta Timur;Pulo Gadung;Pisangan Timur;Jl. Pisangan Timur Selatan;11482000.0;102.0;17.0;1.4;0.3;1.4;1.0;1.2;2.8;1562895017.8873756
Jakarta Timur;Pulo Gadung;Pisangan Timur;Jl. Pisangan Timur Utara;22850000.0;116.0;19.6;0.7;1.2;1.2;1.0;1.3;7.6;3397836100.8201423
Jakarta Timur;Pulo Gadung;Rawamangun;Jl. Rawamangun Utama;16178000.0;159.0;12.8;2.5;0.7;1.5;2.9;0.3;7.0;3251362742.6620073
Jakarta Timur;Pulo Gadung;Rawamangun;Jl. Rawamangun Raya;13501000.0;208.0;17.6;2.6;0.5;1.1;1.6;1.0;5.3;3614765143.145742
Jakarta Timur;Pulo Gadung;Rawamangun;Jl. Rawamangun I;33636000.0;166.0;17.9;3.0;1.1;2.2;3.0;1.2;3.0;6984678987.985199
Jakarta Timur;Pulo Gadung;Rawamangun;Jl. Rawamangun II;12955000.0;205.0;17.2;1.8;1.1;3.0;1.0;1.1;2.1;3411956482.6251206
Jakarta Timur;Pulo Gadung;Rawamangun;Jl. Rawamangun III;17561000.0;139.0;14.1;2.4;0.9;1.2;1.1;0.5;7.9;3102228873.8639183
Jakarta Timur;Pulo Gadung;Rawamangun;Jl. Rawamangun IV;10461000.0;148.0;11.8;0.9;1.2;0.9;4.2;0.2;1.5;2141363296.595073
Jakarta Timur;Pulo Gadung;Rawamangun;Jl. Rawamangun Barat;19613000.0;187.0;19.3;2.6;1.8;1.0;4.4;0.3;2.9;4743410568.351501
Jakarta Timur;Pulo Gadung;Rawamangun;Jl. Rawamangun Timur;22153000.0;248.0;12.6;2.4;0.2;2.4;3.0;0.1;1.9;7366873223.286763
Jakarta Timur;Pulo Gadung;Rawamangun;Jl. Rawamangun Selatan;9930000.0;174.0;12.5;3.1;0.9;3.1;4.5;1.5;7.0;2074063412.9408333
Jakarta Timur;Pulo Gadung;Rawamangun;Jl. Rawamangun Utara;15869000.0;64.0;13.5;3.3;1.5;3.2;2.4;1.4;2.6;1256474227.637432
Jakarta Timur;Pulo Gadung;Cipinang;Jl. Cipinang Utama;29479000.0;129.0;14.4;2.2;2.0;1.6;0.8;0.9;5.5;4748538535.6697035
Jakarta Timur;Pulo Gadung;Cipinang;Jl. Cipinang Raya;34753000.0;182.0;19.8;2.1;1.7;1.8;2.8;1.2;6.9;7714241336.847516
Jakarta Timur;Pulo Gadung;Cipinang;Jl. Cipinang I;27040000.0;83.0;17.5;2.1;0.7;2.5;2.4;0.3;4.0;2843791691.6237464
Jakarta Timur;Pulo Gadung;Cipinang;Jl. Cipinang II;18807000.0;160.0;11.1;3.6;1.2;1.9;2.4;1.0;7.3;3674191678.622521
Jakarta Timur;Pulo Gadung;Cipinang;Jl. Cipinang III;32328000.0;113.0;11.9;3.3;0.7;1.0;1.5;0.2;4.3;4780958998.745138
Jakarta Timur;Pulo Gadung;Cipinang;Jl. Cipinang IV;34601000.0;74.0;8.7;2.2;1.1;1.5;4.0;1.4;3.9;3232396464.0845656
Jakarta Timur;Pulo Gadung;Cipinang;Jl. Cipinang Barat;8578000.0;184.0;19.4;3.4;0.5;2.4;4.7;0.9;2.8;2000414682.147897
Jakarta Timur;Pulo Gadung;Cipinang;Jl. Cipinang Timur;12976000.0;215.0;11.8;3.7;1.0;2.8;2.0;0.4;7.4;3404938312.9948926
Jakarta Timur;Pulo Gadung;Cipinang;Jl. Cipinang Selatan;12786000.0;147.0;11.9;0.8;1.7;2.7;0.5;0.6;5.5;2379100181.9274592
Jakarta Timur;Pulo Gadung;Cipinang;Jl. Cipinang Utara;11987000.0;120.0;9.2;2.5;1.6;1.1;2.5;1.1;2.8;1855851171.1217842
Jakarta Timur;Pulo Gadung;Jati;Jl. Jati Utama;20066000.0;172.0;10.0;2.2;0.2;2.3;4.9;1.4;2.3;4505416970.308166
Jakarta Timur;Pulo Gadung;Jati;Jl. Jati Raya;23464000.0;129.0;9.2;1.7;1.4;2.2;1.8;0.8;6.6;3744771377.7015
Jakarta Timur;Pulo Gadung;Jati;Jl. Jati I;12896000.0;65.0;11.8;2.3;1.4;1.8;1.7;1.3;5.3;1039207655.4505296
Jakarta Timur;Pulo Gadung;Jati;Jl. Jati II;13094000.0;188.0;10.5;2.8;1.1;3.4;2.2;1.1;5.5;2989704489.2164855
Jakarta Timur;Pulo Gadung;Jati;Jl. Jati III;8790000.0;174.0;14.4;3.0;2.0;2.4;3.9;0.3;7.0;1851054854.60338
Jakarta Timur;Pulo Gadung;Jati;Jl. Jati IV;16024000.0;99.0;9.8;1.6;0.2;1.5;3.5;1.2;4.5;2062896051.742543
Jakarta Timur;Pulo Gadung;Jati;Jl. Jati Barat;24714000.0;155.0;16.0;2.2;0.9;1.0;4.3;0.3;7.6;4876101216.547008
Jakarta Timur;Pulo Gadung;Jati;Jl. Jati Timur;17501000.0;190.0;18.6;2.3;0.1;2.7;0.5;0.4;5.9;4300030629.566553
Jakarta Timur;Pulo Gadung;Jati;Jl. Jati Selatan;8076000.0;90.0;9.0;3.3;0.9;2.5;1.8;1.0;4.8;900353165.0698518
Jakarta Timur;Pulo Gadung;Jati;Jl. Jati Utara;31850000.0;178.0;18.4;1.6;0.4;3.5;4.1;1.0;6.7;6993275992.663204
Jakarta Timur;Pulo Gadung;Pulogadung;Jl. Pulogadung Utama;10384000.0;105.0;18.8;1.0;1.4;2.9;3.6;0.4;4.1;1366907195.557993
Jakarta Timur;Pulo Gadung;Pulogadung;Jl. Pulogadung Raya;18447000.0;200.0;16.7;2.6;0.4;3.9;1.6;1.2;6.6;4528526085.959123
Jakarta Timur;Pulo Gadung;Pulogadung;Jl. Pulogadung I;13970000.0;125.0;9.3;3.1;0.7;3.2;4.0;0.8;1.1;2308927425.4338503
Jakarta Timur;Pulo Gadung;Pulogadung;Jl. Pulogadung II;13147000.0;150.0;19.4;3.0;1.9;1.2;2.9;0.2;2.6;2550584395.358463
Jakarta Timur;Pulo Gadung;Pulogadung;Jl. Pulogadung III;23525000.0;209.0;12.2;1.6;1.7;1.0;1.6;0.5;5.7;6298499361.059526
Jakarta Timur;Pulo Gadung;Pulogadung;Jl. Pulogadung IV;23007000.0;130.0;11.2;1.8;0.5;1.0;3.0;1.3;1.9;4034728408.2244596
Jakarta Timur;Pulo Gadung;Pulogadung;Jl. Pulogadung Barat;24816000.0;107.0;9.1;2.0;0.8;1.6;0.7;1.2;7.8;3353741167.0760612
Jakarta Timur;Pulo Gadung;Pulogadung;Jl. Pulogadung Timur;20142000.0;87.0;9.1;3.3;1.8;2.3;2.9;0.4;3.3;2188457804.2887344
Jakarta Timur;Pulo Gadung;Pulogadung;Jl. Pulogadung Selatan;10871000.0;213.0;12.0;1.9;0.2;2.0;3.0;0.9;5.3;2962134948.979129
Jakarta Timur;Pulo Gadung;Pulogadung;Jl. Pulogadung Utara;14402000.0;144.0;18.1;2.8;1.2;1.6;0.9;0.2;4.3;2652097314.061317
Jakarta Timur;Jatinegara;Bidara Cina;Jl. Bidara Cina Utama;7466000.0;159.0;9.5;2.7;1.7;1.9;4.8;0.9;1.2;1560857683.4064388
Jakarta Timur;Jatinegara;Bidara Cina;Jl. Bidara Cina Raya;9904000.0;63.0;15.1;1.4;2.0;3.7;2.6;1.4;4.0;760533801.3865014
Jakarta Timur;Jatinegara;Bidara Cina;Jl. Bidara Cina I;18750000.0;107.0;11.6;2.8;0.3;3.6;4.5;1.0;6.2;2469885131.562393
Jakarta Timur;Jatinegara;Bidara Cina;Jl. Bidara Cina II;10832000.0;115.0;15.1;3.8;0.9;1.4;1.3;0.6;5.9;1569417475.020332
Jakarta Timur;Jatinegara;Bidara Cina;Jl. Bidara Cina III;10838000.0;73.0;18.9;1.8;1.3;1.7;1.4;0.4;1.4;1060256427.1049001
Jakarta Timur;Jatinegara;Bidara Cina;Jl. Bidara Cina IV;17674000.0;99.0;17.4;3.6;0.8;3.2;1.7;1.2;2.7;2192385213.0141497
Jakarta Timur;Jatinegara;Bidara Cina;Jl. Bidara Cina Barat;14558000.0;242.0;13.0;1.1;1.4;2.3;2.7;0.9;6.0;4369517721.392359
Jakarta Timur;Jatinegara;Bidara Cina;Jl. Bidara Cina Timur;13930000.0;224.0;12.9;3.6;1.7;3.9;0.8;0.5;5.0;3801971200.239674
Jakarta Timur;Jatinegara;Bidara Cina;Jl. Bidara Cina Selatan;17357000.0;116.0;17.1;1.0;0.2;2.3;0.8;0.5;7.3;2611482014.366877
Jakarta Timur;Jatinegara;Bidara Cina;Jl. Bidara Cina Utara;16518000.0;80.0;14.0;3.9;0.7;2.8;2.0;0.5;3.3;1663393747.1703491
Jakarta Timur;Jatinegara;Cipinang Besar Selatan;Jl. Cipinang Besar Selatan Utama;9169000.0;245.0;18.8;2.4;1.1;3.7;1.7;0.2;2.8;2839536130.9382224
Jakarta Timur;Jatinegara;Cipinang Besar Selatan;Jl. Cipinang Besar Selatan Raya;7398000.0;149.0;18.4;3.3;0.7;3.0;3.0;1.4;8.0;1327370896.0893357
Jakarta Timur;Jatinegara;Cipinang Besar Selatan;Jl. Cipinang Besar Selatan I;10572000.0;236.0;8.6;3.7;1.3;3.1;3.0;1.3;7.7;2978733874.344971
Jakarta Timur;Jatinegara;Cipinang Besar Selatan;Jl. Cipinang Besar Selatan II;17282000.0;202.0;14.6;0.7;0.7;0.8;1.8;1.1;6.7;4594929666.025396
Jakarta Timur;Jatinegara;Cipinang Besar Selatan;Jl. Cipinang Besar Selatan III;18792000.0;198.0;11.6;3.2;0.9;3.1;3.1;0.2;1.3;4904552128.6726885
Jakarta Timur;Jatinegara;Cipinang Besar Selatan;Jl. Cipinang Besar Selatan IV;5915000.0;101.0;16.8;1.6;0.7;2.4;0.9;0.9;7.4;747011804.0505677
Jakarta Timur;Jatinegara;Cipinang Besar Selatan;Jl. Cipinang Besar Selatan Barat;18889000.0;184.0;17.9;0.5;1.6;1.8;4.1;0.7;7.3;4370549447.891297
Jakarta Timur;Jatinegara;Cipinang Besar Selatan;Jl. Cipinang Besar Selatan Timur;18968000.0;245.0;10.1;2.5;1.1;2.2;2.7;0.2;2.8;5961000497.239553
Jakarta Timur;Jatinegara;Cipinang Besar Selatan;Jl. Cipinang Besar Selatan Selatan;12849000.0;147.0;17.3;1.0;0.3;2.4;2.7;0.9;6.7;2399379117.9441085
Jakarta Timur;Jatinegara;Cipinang Besar Selatan;Jl. Cipinang Besar Selatan Utara;10473000.0;123.0;18.1;1.5;1.6;3.0;3.4;0.2;2.0;1657907889.9308434
Jakarta Timur;Jatinegara;Kampung Melayu;Jl. Kampung Melayu Utama;14652000.0;75.0;13.3;0.7;1.0;2.5;1.2;0.9;5.8;1391917171.6054845
